"País","PBI PPA","GDP (CIA)","% desempleo"
"Timor-Leste",7.426e+09,6000,4.4
"Togo",1.297e+10,1700,6.9
"Tokelau",1500000,1000,NA
"Tonga",5.91e+08,5900,1.1
"Trinidad and Tobago",4.285e+10,31300,4.9
"Tunisia",1.377e+11,11900,15.5
"Turkey",2.186e+12,27000,10.9
"Turkmenistan",1.037e+11,18200,11
"Turks and Caicos Islands",6.32e+08,29100,10
"Tuvalu",4.2e+07,3800,NA
"Uganda",8.919e+10,2400,9.4
"Ukraine",3.696e+11,8800,9.2
"United Arab Emirates",6.96e+11,68600,1.6
"United Kingdom",2.925e+12,44300,4.4
"United States",1.949e+13,59800,4.4
"Uruguay",7.816e+10,22400,7.6
"Uzbekistan",2.23e+11,6900,5
"Vanuatu",7.72e+08,2700,1.7
"Venezuela",3.816e+11,12500,27.1
"Vietnam",6.487e+11,6900,2.2
"Virgin Islands",3.872e+09,37000,10.4
"Wallis and Futuna",6e+07,3800,8.8
"West Bank",2.122e+10,4300,27.9
"Western Sahara",906500000,2500,NA
"World",NA,NA,7.7
"Yemen",7.363e+10,2500,27
"Zambia",6.893e+10,4000,15
"Zimbabwe",3.427e+10,2300,11.3
