"Country","Suicidio","IDH","GDP (CIA)","% desempleo","tasa de fertilidad","% urbanizado","Happiness Score","Social Support Score","Generosity Score","Political Participation","Political Culture","Civil Liberties"
"Togo",9.6,0.513,1700,6.9,4.3,0.428,4.085,0.572,0.177,3.33,5,3.24
"Tunisia",3.4,0.739,11900,15.5,2.2,0.696,4.461,1,0.059,7.22,5.63,5.88
"Turkey",7.3,0.807,27000,10.9,2.1,0.761,5.373,1.36,0.083,5,5,2.35
"Turkmenistan",6.7,0.71,18200,11,2.8,0.525,5.247,1.538,0.244,2.22,5,0.59
"Uganda",9.9,0.528,2400,9.4,5,0.25,4.189,1.069,0.252,4.44,6.88,5.88
"Ukraine",22.4,0.75,8800,9.2,1.3,0.696,4.332,1.39,0.187,6.67,6.25,6.47
"United Arab Emirates",2.8,0.866,68600,1.6,1.4,0.87,6.825,1.31,0.262,2.22,5,2.65
"United Kingdom",8.9,0.92,44300,4.4,1.7,0.839,7.054,1.538,0.348,8.89,7.5,9.12
"United States",15.3,0.92,59800,4.4,1.7,0.827,6.892,1.457,0.28,7.78,7.5,8.24
"Uruguay",18.4,0.808,22400,7.6,2,0.955,6.293,1.465,0.127,6.11,7.5,9.71
"Uzbekistan",7.4,0.71,6900,5,2.4,0.504,6.174,1.529,0.322,2.22,5,0.88
"Venezuela",3.7,0.726,12500,27.1,2.3,0.883,4.707,1.427,0.064,5,4.38,3.24
"Vietnam",7.3,0.693,6900,2.2,2,0.373,5.175,1.346,0.147,3.89,5.63,2.65
"Yemen",8.5,0.463,2500,27,3.8,0.379,3.38,1.163,0.108,3.89,5,0.88
"Zambia",6.1,0.591,4000,15,4.6,0.446,4.107,1.058,0.247,4.44,6.88,6.47
"Zimbabwe",10.7,0.563,2300,11.3,3.6,0.322,3.663,1.114,0.151,4.44,5.63,3.24
